ID	EN
5167	catering profession
5163	Catholicism
5034	cattle
7208	Caucasus countries
1291	Cayman Islands
4080	CCT duties
5375	cease-fire
5342	Cedefop
7185	CEFTA
8278	CEFTA countries  [V4.3]
5346	cellulose
5993	cement
5488	cemetery
6094	Cenelec
5348	censorship
2907	census
302	Central Africa
4586	Central African Economic and Monetary Community
5349	Central African Republic
1606	Central America
6337	Central American Bank for Economic Integration
3727	Central American Common Market
2116	Central American Integration System
7206	Central American Parliament
5781	Central and Eastern European Countries
5448	Central Asia
4763	central bank
7853	Central Bohemia
7186	Central Commission for Navigation on the Rhine
7858	Central Estonia
38	central government
1183	Central Greece
7901	Central Hungary
7891	Central Macedonia
3394	Central Portugal
4394	central rate
7829	Central Slovenia
7903	Central Transdanubia
5351	centralisation of information
5352	Centre (France)
5282	Centre for the Development of Enterprise
8491	Centru (Romania)  [V4.3]
5248	CEPT
5359	ceramics
1029	cereal flakes
970	cereal flour
2729	cereal product
2990	cereal substitute
318	cereal-growing
5360	cereals
5364	cereals of bread-making quality
5365	CERN
5367	certificate of origin
6918	cervidae
5373	cessation of farming
5372	cessation of trading
6282	Ceuta
3388	Ceuta and Melilla
5788	CFSP
4410	Chad
3215	chain store
8458	challenge  [V4.3]
5376	chamber of commerce and industry
5380	champagne
5381	Champagne-Ardenne
3523	change of job
5483	change of political system
1290	Channel Islands
5385	chaptalisation
5244	charcoal
4882	charge
4403	charge having equivalent effect
4387	charges for use of infrastructure
3902	charter on human rights
254	chartering
8355	Chechen question  [V4.3]
1102	cheese
1113	cheese factory
6914	chemical accident
1143	chemical alcohol
3810	chemical compound
3809	chemical element
765	chemical fertiliser
1362	chemical industry
2528	chemical pollution
2692	chemical process
2739	chemical product
4062	chemical salt
6410	chemical waste
2557	chemical weapon
5966	chemistry
5963	cheque
758	child
1133	child care
4552	child labour
760	child of migrant
6553	child pornography
3919	child protection
4866	children's library
3916	children's rights
5965	Chile
5969	China
5971	chlorine
5973	choice of technology
6545	Christian
2253	Christian Democratic Party
5987	Christianity
5988	chromium
6567	chronic illness
4101	church
3221	church-State relations
5990	cider
2641	cif price
6715	cindynics
5994	cinema
5995	circular
5775	CIS countries
7347	citizen's duties
5852	citizen-authority relations
5629	citizens' Europe
693	citrus fruit
193	CIV Convention
3276	civics
4408	civil aviation
8432	civil bankruptcy  [V4.3]
5496	civil code
3057	civil defence
419	civil disobedience
1145	civil engineering
523	civil law
3926	civil liability
5416	civil liability proceedings
2699	civil procedure
5414	civil proceedings
5850	civil register
583	civil rights
1047	civil servant
3573	civil servants’ union
1046	civil service
8428	civil society  [V4.3]
884	civil status
7414	civil union
1211	civil war
5783	civilian personnel
4696	civilian victim
5996	civilisation
5559	claim
4556	clandestine worker
1710	class struggle
6004	classification
1064	classified forest
3638	clean technology
5466	cleaning industry
1918	clearing agreement
370	clearing of land
6009	clergy
6011	climate
5482	climate change
4786	climatic zone
6384	climatology
1403	clock and watch industry
6171	cloning
6013	closing of accounts
4680	clothing
1397	clothing industry
4566	clover
8513	Cluj  [V4.3]
6026	co-determination
6025	co-financing
3244	co-insurance
5386	coal
5260	coal by-products industry
3743	coal industry
5387	coal mining
3746	coal processing
3745	coalmining policy
2532	coastal pollution
3142	coastal protection
3043	coastal region
6018	cobalt
5078	cocoa
3482	code of conduct
5815	codecision procedure
5498	codification of Community law
6019	coding
5088	coffee
74	cohabitation
5643	Cohesion Fund
6027	coke
3846	cold store
1214	cold war
4702	collective activities
194	collective agreement
2046	collective bargaining
1647	collective dismissal
983	collective farm
5685	collective interest
639	collectivised economy
6032	collectivism
6036	Colombia
2392	Colombo Plan
5121	colonialism
5660	combat helicopter
5952	combat vehicle
5751	Combined Nomenclature
4506	combined transport
1140	combustion gases
5086	Comecon
5087	Comecon countries
5511	comitology
5322	commemoration
6766	commentary on a law
6062	commercial arbitration
4774	commercial bank
8425	commercial code  [V4.3]
6366	commercial contract
3983	commercial court
3277	commercial education
577	commercial farming
524	commercial law
3012	commercial media
5268	commercial transaction
4658	commercial vehicle
24	commission agent
4124	Commission Delegation
763	commitment of expenditure
15	committee of inquiry
5508	Committee of the Regions
2895	committee report
5033	commodities exchange
1801	commodities market
4828	commodity agreement
2665	commodity price
2443	common agricultural policy
2450	common commercial policy
4381	common customs tariff
2455	common fisheries policy
1054	common fund
4876	common land
1792	common market
8400	Common Market for Eastern and Southern Africa  [V4.3]
2173	common organisation of markets
2513	common ports policy
2456	common price policy
8474	common strategy  [V4.3]
2520	common tariff policy
2457	common transport policy
5010	common wheat
25	Commonwealth
5479	Commonwealth of Independent States
7209	communication skills
1370	communications industry
2473	communications policy
3580	communications profession
4361	communications systems
32	Communism
2250	Communist Party
5411	Community acquis
5258	Community act
5413	Community action
5418	Community activity
1789	Community agricultural market
862	Community aid
5767	Community body
2163	Community body (established by the Treaties)
738	Community borrowing
5051	Community budget
5481	Community certification
